Label,Features
1,"[7.         2.57142857 0.         1.         0.28571429 0.42857143
 0.         0.        ]"
1,"[22.          3.04545455  0.          0.72727273  0.22727273  0.59090909
  0.          0.        ]"
1,[8.    3.125 0.    1.    0.375 0.375 0.    0.   ]
1,[5.  2.  0.  0.6 1.  0.  0.  0. ]
1,"[13.          2.76923077  0.          0.92307692  0.30769231  0.30769231
  0.          0.        ]"
1,"[13.          4.53846154  0.          0.84615385  0.53846154  0.15384615
  0.          0.        ]"
1,"[21.          2.80952381  0.          0.95238095  0.0952381   0.57142857
  0.          0.        ]"
1,"[9.         2.55555556 0.         1.         0.33333333 0.33333333
 0.         0.        ]"
1,[10.   4.   0.   1.   0.5  0.3  0.   0. ]
1,"[12.          3.25        0.          1.          0.16666667  0.5
  0.          0.        ]"
0,"[7.         2.85714286 0.         1.         0.14285714 0.71428571
 0.         0.        ]"
0,[10.   2.8  0.   1.   0.3  0.7  0.   0. ]
0,[8.    3.75  0.    0.875 0.125 0.25  0.    0.   ]
0,"[13.          2.84615385  0.          1.          0.38461538  0.46153846
  0.          0.        ]"
0,[10.   2.6  0.   1.   0.5  0.2  0.   0. ]
0,"[6.         2.66666667 0.         1.         0.33333333 0.5
 0.         0.        ]"
0,"[9.         2.11111111 0.         1.         0.33333333 0.44444444
 0.         0.        ]"
0,"[15.          2.53333333  0.          0.93333333  0.26666667  0.46666667
  0.          0.        ]"
0,[2.  2.5 0.  1.  0.5 0.5 0.  0. ]
0,[2.  3.5 0.  1.  0.5 0.  0.  0. ]
